dataset,model,aicc,r2,adj_r2,rss,rmse,mae,enp,residual_morans_i,fit_seconds,n_samples,converged,n_iter,alpha
crime,LG-GWR Joint,24152.697250962003,0.4320314476707386,0.4187310171678912,1738501779732.8484,41695.34482088916,8424.43510927313,22.85883208081383,0.0125729917036711,6.740158026999779,1000,False,100.0,
crime,SGWR,24248.8349614177,0.3878979802046951,0.3664965941383016,1873590441632.9512,43284.99095105544,8927.44281757418,33.74880779251037,0.0270720028150756,0.2606634959997791,1000,,,0.01
crime,GWR,24402.65472457257,0.3063613261067999,0.2686160247672048,2123166967800.3303,46077.83597132498,8303.941036763834,51.55644273755587,-0.0107783930612073,0.1862325239999336,1000,,,
crime,OLS,24508.86991273252,0.1672905576462779,0.1631018783587844,2548850357287.1333,50486.14024944998,11044.1644986983,6.0,0.0277882532101347,0.0003431270001783,1000,,,
crime,LG-GWR Separable,24510.82117228525,0.1673582473805099,0.1623236578031827,2548643164964.689,50484.08823544988,11042.668478698824,6.004174565273928,0.0277987153164737,3.487611377000121,1000,True,29.0,
hiv,GWR,12302.05485474295,0.7199934607547367,0.6776376101993953,10198708.5067185,100.9886553367184,60.96961622419797,131.26064343597528,0.0028069458237509,0.2082709810001688,1000,,,
hiv,SGWR,12302.05485482263,0.7199934607805264,0.6776376102084505,10198708.505779158,100.98865533206764,60.96961622458097,131.26064349152256,0.0028069458262685,0.2339897319998272,1000,,,1.0
hiv,LG-GWR Joint,12419.563089743244,0.6375822452640528,0.6157679769116813,13200381.134576838,114.89291159413116,71.62027465984141,56.71691263226644,0.1564646785977793,1.9792864129999543,1000,True,28.0,
hiv,LG-GWR Separable,13109.62779793491,0.2160536834226895,0.2120166480733869,28553761.59870488,168.97858325452037,110.62253433739478,5.118126295552688,0.3773490089695464,3.773382823999782,1000,True,34.0,
hiv,OLS,13129.599186751297,0.1985213443053256,0.1952993195588143,29192343.885321803,170.85767142660526,111.285766422143,5.0,0.3728409442662854,0.0003233079996789,1000,,,
housing,SGWR,53893.15654863037,0.8303195346487562,0.8080096865499508,48595111300631.41,155876.7322287573,95746.4646800236,232.2897731041785,0.0613387715057266,19.88098932899993,2000,,,1.0
housing,GWR,53893.156549090345,0.8303195346049302,0.8080096865022963,48595111313182.8,155876.7322488876,95746.46467999602,232.2897730863837,0.0613387713765202,0.5545688189999964,2000,,,
housing,OLS,55681.56085257654,0.4992280997470729,0.4977205074733561,143417017266220.62,267784.4443449065,177834.73293357223,7.0,0.4074504432143721,0.000706313000137,2000,,,
housing,LG-GWR Separable,55683.416796756166,0.499269112674742,0.4975086036989039,143405271495835.56,267773.4784251752,177825.96500971878,7.003617312865382,0.4074615716516558,25.918095578000248,2000,True,29.0,
