family,scenario,repetition,seed,method,rmse,mae,r2,coef_rmse,coef_correlation,train_aicc,train_adj_r2,train_enp,ari,nmi,boundary_f1,distance_correlation,knn_overlap,converged,n_iter,fit_seconds
GR,R1,0,20370719,OLS,0.4586574341,0.3744491185,0.953553502,0.174643877,-1.274536991e-16,,,,,,,,,,,0.000467455
GR,R1,0,20370719,GWR,0.4479152354,0.3687270521,0.9557036676,0.08439375885,0.8931710457,614.8059024,0.9515548681,42.98241926,,,,,,,,0.061832677
GR,R1,0,20370719,GR-GWR,0.447915234,0.3687270507,0.9557036678,0.08439375514,0.8931710655,614.8058988,0.951554868,42.98241189,1,1,1,,,True,0,0.294346293
GR,R1,1,20370720,OLS,0.5372777223,0.411812468,0.9523778227,0.187468777,,,,,,,,,,,,8.119e-05
GR,R1,1,20370720,GWR,0.4932763168,0.3793543073,0.9598586375,0.06958203022,0.9199635368,636.8787596,0.9462040528,42.26206188,,,,,,,,0.058644211
GR,R1,1,20370720,GR-GWR,0.4932763127,0.3793543052,0.9598586381,0.06958202797,0.9199635444,636.8787533,0.946204053,42.26205465,1,1,1,,,True,0,0.283268385
GR,R1,2,20370721,OLS,0.5414114921,0.4146257119,0.945693899,0.1899065199,-1.907946639e-15,,,,,,,,,,,0.000152145
GR,R1,2,20370721,GWR,0.5157616152,0.4066448598,0.950717615,0.07184538768,0.927675473,621.9144271,0.9496941073,43.37339836,,,,,,,,0.058369394
GR,R1,2,20370721,GR-GWR,0.5157616109,0.4066448551,0.9507176158,0.07184538299,0.9276754824,621.9144229,0.9496941072,43.37339093,1,1,1,,,True,0,0.281389474
GR,R2,0,20380719,OLS,1.913613949,1.489837209,0.3198027277,1.327474185,2.954122712e-16,,,,,,,,,,,0.000129932
GR,R2,0,20380719,GWR,0.8876425971,0.5923891537,0.8536467063,0.530437362,0.8923668726,975.5838846,0.8744444939,42.35634056,,,,,,,,0.062568388
GR,R2,0,20380719,GR-GWR,0.4774328916,0.3859299615,0.9576599954,0.05601650504,0.998687159,616.405554,0.9486687353,38.90100693,1,1,1,,,True,4,0.703962142
GR,R2,1,20380720,OLS,1.829953734,1.431428641,0.3131555723,1.274393972,,,,,,,,,,,,0.00012218
GR,R2,1,20380720,GWR,0.662625416,0.5031900239,0.9099436504,0.3427793949,0.9590950483,915.9139489,0.8859217959,42.55214405,,,,,,,,0.058652173
GR,R2,1,20380720,GR-GWR,0.5368036307,0.4456130242,0.9408970649,0.06495925717,0.9969395908,626.4608443,0.9444531182,39.0099903,1,1,1,,,True,2,0.454074122
GR,R2,2,20380721,OLS,1.722544118,1.463161917,0.3897017331,1.27836184,,,,,,,,,,,,0.000101329
GR,R2,2,20380721,GWR,0.8838769384,0.6506371576,0.839311412,0.57165985,0.8588982161,1038.527039,0.8435213738,42.60170965,,,,,,,,0.059215484
GR,R2,2,20380721,GR-GWR,0.5186056383,0.4045958447,0.9446807992,0.05706858382,0.9982340787,647.7803922,0.9409356226,39.42043573,1,1,1,,,True,3,0.589211724
GR,R3,0,20390719,OLS,2.197330201,1.804612069,0.04586445176,1.496917568,,,,,,,,,,,,0.000123353
GR,R3,0,20390719,GWR,1.231679812,0.9397855703,0.7002114282,0.7735574766,0.8716839236,1419.087255,0.6643940523,42.91558448,,,,,,,,0.063194032
GR,R3,0,20390719,GR-GWR,0.7029704591,0.4636148083,0.902345204,0.2729791715,0.9825420943,612.2706532,0.9548488887,31.03068553,0.9924133452,0.9865418621,0.9677419355,,,True,3,0.477455341
GR,R3,1,20390720,OLS,2.130369244,1.758305179,0.007119615574,1.536565916,,,,,,,,,,,,9.494099999e-05
