family,scenario,method,rmse_count,rmse_mean,rmse_std,coef_rmse_mean,train_aicc_mean,ari_mean,boundary_f1_mean,distance_correlation_mean,knn_overlap_mean,n_iter_mean,fit_seconds_mean
GR,R1,GR-GWR,10,0.50903461,0.04390783,0.071734383,610.16539,1,1,,,0,0.32616592
GR,R1,GWR,10,0.50903461,0.043907829,0.071734386,610.16539,,,,,,0.066306044
GR,R2,GR-GWR,10,0.49872922,0.018970949,0.062728705,616.33315,1,1,,,3.3,0.63370999
GR,R2,GWR,10,0.83327632,0.11082308,0.49084628,999.19352,,,,,,0.062239416
GR,R3,GR-GWR,10,0.71718474,0.24061706,0.38663863,641.03024,0.960396,0.90975496,,,2.7,0.44255456
GR,R3,GWR,10,1.2523129,0.13631739,0.78205461,1322.1455,,,,,,0.062150693
GR,R4,GR-GWR,10,0.79787185,0.22664494,0.49177433,724.41775,0.97462915,0.88080507,,,5.2,0.92638625
GR,R4,GWR,10,1.2139532,0.14106606,0.7992746,1335.3069,,,,,,0.062735617
GR,R5,GR-GWR,10,0.54648839,0.040535757,0.14823672,679.31584,1,1,,,0,0.28791226
GR,R5,GWR,10,0.54648838,0.040535752,0.14823671,679.31583,,,,,,0.061190636
GR,R6,GR-GWR,10,0.93545838,0.12352814,0.56422536,1014.8304,0.24660388,0.65248227,,,2,0.57258338
GR,R6,GWR,10,1.153481,0.10318332,0.73713431,1247.3347,,,,,,0.065467805
LG,L1,GWR,5,0.58450711,0.043191914,0.17077202,706.34359,,,,,,0.060674609
LG,L1,LG-GWR Joint,5,0.69952328,0.040999544,0.33831603,852.31257,,,0.88960041,0.7005,74,4.4301903
LG,L1,LG-GWR Separable,5,1.1290674,0.18092001,0.77053033,1314.6078,,,,,6,0.62783132
LG,L1,SGWR,5,0.56740479,0.042926176,0.14466505,685.92116,,,,,,0.92209072
LG,L2,GWR,5,0.55505203,0.054813137,0.1418972,656.59773,,,,,,0.062298554
LG,L2,LG-GWR Joint,5,0.57750969,0.064703731,0.18973549,665.59321,,,0.77997561,0.4051,59,5.1915782
LG,L2,LG-GWR Separable,5,1.1363728,0.088676182,0.68228275,1202.244,,,,,15.2,1.0404768
LG,L2,SGWR,5,0.54935221,0.050289872,0.12660534,648.25799,,,,,,0.98097938
LG,L3,GWR,5,0.65442067,0.041907876,0.34589958,872.20315,,,,,,0.065819316
LG,L3,LG-GWR Joint,5,0.57157441,0.040127238,0.24934409,754.6834,,,0.85908801,0.4472,86.6,6.8157221
LG,L3,LG-GWR Separable,5,1.1023944,0.12422205,0.7551618,1273.2755,,,,,54,2.0624848
LG,L3,SGWR,5,0.59612424,0.028222703,0.26605484,809.34296,,,,,,0.95674745
LG,L4,GWR,5,0.76956715,0.041287518,0.39340672,905.32085,,,,,,0.064651377
LG,L4,LG-GWR Joint,5,0.67536886,0.031933112,0.29601059,775.86175,,,0.98585174,0.7879,81.6,5.6262224
LG,L4,LG-GWR Separable,5,1.2617074,0.07437631,0.77513591,1274.7689,,,,,13.2,1.5404383
LG,L4,SGWR,5,0.6953174,0.051099948,0.31711899,822.51227,,,,,,0.93804988
LG,L5,GWR,5,0.55275192,0.043663661,0.18980918,683.79764,,,,,,0.063140982
LG,L5,LG-GWR Joint,5,0.75808298,0.083889518,0.40184428,875.23808,,,0.91588054,0.37395,50.8,4.4039028
LG,L5,LG-GWR Separable,5,1.1760316,0.085431563,0.75699534,1273.0913,,,,,17,1.0663601
LG,L5,SGWR,5,0.53761594,0.035501474,0.15779113,665.92938,,,,,,0.92342656
LG,L6,GWR,5,0.54366502,0.04701696,0.20061786,742.43486,,,,,,0.062166592
LG,L6,LG-GWR Joint,5,0.68800267,0.083791216,0.34965104,861.74327,,,,,65,4.5832139
LG,L6,LG-GWR Separable,5,1.2847202,0.20016045,0.77193839,1271.5974,,,,,34.8,1.0762125
LG,L6,SGWR,5,0.5276435,0.037962141,0.16463571,719.35759,,,,,,0.90577661
